source_file,local_id,full_id,parent_id,pcode,pcode_name,name,description,pos_x,pos_y,pos_z,scale_x,scale_y,scale_z
objects_1153_1093.slc,224,4f9574cd-40a8-1c51-0888-5c11df22e43f,253,9,volume,,,-2.6077260971069336,0.0,0.016112999990582466,1.6020574569702148,0.244546040892601,0.5352731347084045
objects_1153_1093.slc,225,010df9b6-50f6-c0d1-6702-8ce85e31ea76,253,9,volume,,,-0.5148929953575134,-1.8999999156221747e-05,0.07495100051164627,0.11591924726963043,0.11410950124263763,0.09227076917886734
objects_1153_1093.slc,226,0e076888-6325-eb6b-12d6-24baf786c8bd,253,9,volume,,,2.1338798999786377,0.0016710000345483422,-0.04663100093603134,1.0397318601608276,0.7154241800308228,0.6307406425476074
objects_1153_1093.slc,227,c3c7aa60-df50-d206-09b8-1fb7ed94cab2,253,9,volume,,,-0.0924379974603653,0.10987500101327896,0.49072301387786865,0.03252135589718819,0.012806336395442486,0.012844567187130451
objects_1153_1093.slc,228,9f8883da-399e-8d66-78a9-da33f0e44a9b,253,9,volume,,,0.0018149999668821692,0.4691160023212433,0.5593259930610657,1.1049418449401855,0.2060854732990265,0.30402982234954834
objects_1153_1093.slc,229,5b5e38c7-42ea-5f44-07c6-86ab7b857250,253,9,volume,,,-2.1176910400390625,-0.8715400099754333,0.4562990069389343,0.23088015615940094,0.18519631028175354,0.12201952934265137
objects_1153_1093.slc,230,29019524-09bf-a395-d558-c10df8fdaf2b,253,9,volume,,,-0.08284000307321548,0.004906000103801489,0.6767579913139343,0.17602697014808655,0.039173662662506104,0.06936049461364746
objects_1153_1093.slc,231,2c78780e-49cc-e90f-69f3-7baf8c515cb4,253,9,volume,,,2.179487943649292,0.0,0.28125,0.05759861692786217,0.05356013402342796,0.02681693248450756
objects_1153_1093.slc,232,7c28e263-33cd-890a-49a3-87983df889aa,253,9,volume,,,-0.7503809928894043,0.4820669889450073,0.16870099306106567,0.6703948378562927,0.8911570310592651,0.687404453754425
objects_1153_1093.slc,233,fbc1bbd6-797c-1360-4717-5c596a8b8fee,253,9,volume,,,-0.2761389911174774,0.0016710000345483422,0.17700199782848358,1.8805594444274902,1.5106992721557617,0.7440484762191772
objects_1153_1093.slc,234,0227e529-472f-0355-753c-7aa649d3e4a4,253,9,volume,,,-0.4909060001373291,-0.8421900272369385,0.15478500723838806,0.25079140067100525,1.0278531312942505,0.5973097085952759
objects_1153_1093.slc,235,36bb46ca-8ed9-a5ac-491c-41a2d59da270,253,9,volume,,,2.2167809009552,0.0016710000345483422,0.17431700229644775,1.55946683883667,0.05784646049141884,0.025074586272239685
objects_1153_1093.slc,236,f5cf7ef0-68a6-17ac-3217-0a0d1eb577c5,253,9,volume,,,-0.10252399742603302,0.2993580102920532,0.4135740101337433,0.6316013932228088,0.03268272057175636,0.20969757437705994
objects_1153_1093.slc,237,6b337609-e6f4-c377-d4d5-72da72257de8,253,9,volume,,,2.221328020095825,0.0016710000345483422,0.17431700229644775,1.7263296842575073,0.06696398556232452,0.20049533247947693
objects_1153_1093.slc,238,93b67eab-a029-e312-f572-fe671780e0ac,253,9,volume,,,-0.21640099585056305,0.0014230000087991357,0.42089900374412537,2.0479519367218018,2.7740209102630615,1.1186803579330444
objects_1153_1093.slc,239,dd531631-6e94-89ee-17b9-547b602c0fea,253,9,volume,,,2.225935935974121,0.001854000031016767,0.17431700229644775,1.7552454471588135,0.08998623490333557,0.22781863808631897
objects_1153_1093.slc,240,8f153162-04a3-8b52-a892-38c680cce51c,253,9,volume,,,-1.4367669820785522,0.390872985124588,0.36474600434303284,0.4750141501426697,0.6503115296363831,1.3048086166381836
objects_1153_1093.slc,241,69a6ed1f-8c99-41fc-600f-a3e620825b05,253,9,volume,,,-2.6393120288848877,0.0009919999865815043,0.08032199740409851,1.5659173727035522,0.016103854402899742,0.07259085029363632
objects_1153_1093.slc,242,2de25dca-4fe2-fc16-f207-c90c59b76256,253,9,volume,,,0.19428999722003937,0.0016710000345483422,0.43286100029945374,1.8748500347137451,0.6295808553695679,0.29571250081062317
objects_1153_1093.slc,243,0a078231-8fb2-404e-f0c1-97edecf52a98,253,9,volume,,,-0.10047999769449234,0.5930100083351135,0.4404299855232239,0.03383632376790047,0.012806336395442486,0.012806336395442486
objects_1153_1093.slc,244,b520574a-f3ed-3ff7-29e8-8396d817fafe,253,9,volume,,,-2.363204002380371,0.0,0.4426270127296448,0.057598307728767395,0.053390372544527054,0.027392933145165443
objects_1153_1093.slc,245,2ab82b5f-3cd7-d47c-e491-6bd28d69bb44,253,9,volume,,,0.16310100257396698,0.5368540287017822,0.5585939884185791,0.4873136878013611,0.20391708612442017,0.12488219141960144
objects_1153_1093.slc,246,f977ac47-f9a7-30e9-4a03-16b319db29fe,253,9,volume,,,-0.09817499667406082,0.0,0.10644599795341492,2.2806777954101562,5.037440299987793,0.992285966873169
objects_1153_1093.slc,247,d8a4ce70-a2fd-3e67-e66e-91fd7e13c39b,253,9,volume,,,-0.10165499895811081,0.3376390039920807,0.4362789988517761,0.04637189581990242,0.012806336395442486,0.038573771715164185
objects_1153_1093.slc,248,276e6357-671f-5e27-224d-d2b66a89a247,253,9,volume,,,-0.0019839999731630087,0.0,-0.22412100434303284,2.2290198802948,1.7402665615081787,0.23817157745361328
objects_1153_1093.slc,249,f8115acc-4c1f-9321-852c-2339e6d9a7eb,253,9,volume,,,-2.6425769329071045,0.0009919999865815043,0.15722699463367462,1.5660275220870972,0.016103854402899742,0.08285166323184967
objects_1153_1093.slc,250,1f2b8358-54e4-cc37-3564-2f991f5c350c,253,9,volume,,,-0.19715900719165802,0.4820629954338074,0.4040530025959015,0.5033762454986572,0.3068930506706238,0.49958929419517517
objects_1153_1093.slc,251,11c30ff0-c79f-28b1-327f-ebdbe920c4d1,253,9,volume,,,-0.38914498686790466,0.027236999943852425,0.1853030025959015,0.06604849547147751,0.19610288739204407,0.17063702642917633
objects_1153_1093.slc,252,d78b8eb0-6406-46bc-b5d0-3183cd50d374,253,9,volume,,,-0.09263700246810913,0.0234179999679327,0.48803699016571045,0.0338592566549778,0.012806336395442486,0.012806336395442486
objects_1153_1093.slc,253,0b7bbbb2-db69-8ef3-3e65-4ca13a02fb9e,0,9,volume,,,173.53627014160156,143.1656951904297,33.216339111328125,3.9020233154296875,1.8799999952316284,0.640869140625
objects_1153_1093.slc,285,f1db41f3-b4fa-6ebe-687e-dd9f956f2de5,287,9,volume,,,0.018799999728798866,0.0,0.9340999722480774,1.0999462604522705,0.4855329990386963,0.009999999776482582
objects_1153_1093.slc,286,183ca872-e25a-c67e-d292-9dbafba1f695,287,9,volume,,,0.021400000900030136,0.0,-0.9266999959945679,1.1011555194854736,0.4855329990386963,0.009999999776482582
objects_1153_1093.slc,287,c695cb4b-2c18-e81a-314d-bcb9d742ae80,0,9,volume,,,165.54269409179688,221.81207275390625,35.772640228271484,1.14431893825531,0.030935058370232582,1.36358642578125
objects_1153_1093.slc,322,0de6f06b-0497-325d-c397-2dff9f84fa3b,0,9,volume,,,99.43497467041016,216.96090698242188,34.5654296875,1.6660009622573853,1.2514314651489258,1.6838136911392212
objects_1153_1093.slc,430,9c52e3fd-0b71-ecdc-7352-0065351ab40c,433,9,volume,,,0.10920000076293945,0.18610000610351562,-0.013700000010430813,0.4169745445251465,0.7567929625511169,0.5803338885307312
objects_1153_1093.slc,431,8ce05b8e-4de5-0d36-5dae-fafcdb0b8958,433,9,volume,,,0.10949999839067459,0.20029999315738678,-0.006300000008195639,0.41491541266441345,0.7811529636383057,0.49753516912460327
objects_1153_1093.slc,432,c2574d76-2bfe-f2a4-6291-28fde6f7a035,433,9,volume,,,0.12700000405311584,0.20389999449253082,-0.010599999688565731,0.5244922041893005,0.6854496598243713,0.6057744026184082
objects_1153_1093.slc,433,28edda4b-6724-075a-4624-009c70819184,0,9,volume,,,125.174072265625,145.22959899902344,32.74473571777344,0.2846386134624481,0.2618802785873413,0.286729097366333
objects_1153_1093.slc,435,a7c1c024-4192-2a5a-c17f-1ea184868cf8,0,9,volume,,,136.10269165039062,210.1285858154297,33.549072265625,1.6660009622573853,1.2514314651489258,1.6838136911392212
objects_1153_1093.slc,484,29757ce4-297f-3b3d-7a56-04c211c3cfec,0,9,volume,,,162.363525390625,212.80056762695312,34.135498046875,0.17021653056144714,1.1857998371124268,2.9971187114715576
objects_1153_1093.slc,485,edbc744d-75e1-f56c-f130-1cea4fe75ca5,0,9,volume,,,121.94353485107422,212.3251190185547,33.478759765625,1.6660009622573853,1.2514314651489258,1.6838136911392212
objects_1153_1093.slc,499,fabef21b-7587-9f64-0638-f80abcbd1112,0,9,volume,,,114.99996948242188,206.60069274902344,32.672237396240234,3.2886691093444824,3.2886691093444824,0.009999999776482582
objects_1153_1093.slc,500,2446496e-9f29-51b9-5b57-ebaf0f4774a0,0,9,volume,,,115.70082092285156,165.8085174560547,39.68310546875,3.2886691093444824,3.2886691093444824,0.009999999776482582
objects_1153_1093.slc,518,35ebf9fe-779f-c8a1-cfe6-fecf4791d756,519,9,volume,,,-0.08615099638700485,-0.4049229919910431,-0.21923799812793732,0.30000001192092896,0.30000001192092896,0.30000001192092896
objects_1153_1093.slc,519,bc1c3b38-9d9f-4e97-50cb-9bd8339bd6aa,0,9,volume,,,166.63319396972656,150.97747802734375,39.114646911621094,1.237876296043396,0.9977529048919678,0.5672461986541748
